<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.03,0.09,0.16,0.65,0.44,0.29,0.24,544,0.37,0.2,500,1,99,185.375
0.04,0.09,0.17,0.63,0.43,0.3,0.26,517,0.37,0.19,500,1,94,186.75
0.04,0.11,0.19,0.61,0.47,0.33,0.27,500,0.39,0.22,500,1,109,195.25
0.03,0.11,0.17,0.65,0.49,0.35,0.3,495,0.41,0.24,500,1,121,207.25
0.02,0.06,0.11,0.7,0.5,0.38,0.31,468,0.43,0.25,500,1,124,216.0
0.03,0.08,0.11,0.72,0.5,0.36,0.31,471,0.43,0.25,500,1,125,215.5
0.02,0.08,0.15,0.61,0.45,0.32,0.26,542,0.38,0.2,500,1,99,189.75
0.03,0.1,0.15,0.63,0.48,0.35,0.27,530,0.4,0.23,500,1,115,198.5
0.04,0.1,0.15,0.69,0.48,0.33,0.26,521,0.4,0.23,500,1,116,198.25
0.01,0.08,0.14,0.7,0.5,0.36,0.28,525,0.42,0.26,500,1,128,208.5
0.04,0.12,0.18,0.65,0.5,0.34,0.28,539,0.41,0.25,500,1,123,202.5
0.03,0.1,0.16,0.65,0.45,0.34,0.28,550,0.4,0.21,500,1,106,198.125
0.02,0.08,0.13,0.69,0.53,0.36,0.3,535,0.43,0.29,500,1,144,214.5
0.02,0.07,0.14,0.6,0.46,0.34,0.29,610,0.39,0.2,500,1,102,195.875
0.03,0.08,0.16,0.6,0.43,0.33,0.27,605,0.38,0.19,500,1,94,190.875
0.05,0.19,0.33,0.32,0.18,0.08,0.05,474,0.15,0.05,500,1,23,73.0
0.04,0.09,0.14,0.67,0.47,0.35,0.28,606,0.41,0.22,500,1,109,202.5
0.03,0.07,0.12,0.69,0.5,0.36,0.29,607,0.42,0.24,500,1,119,210.125
0.03,0.07,0.12,0.65,0.48,0.34,0.26,631,0.4,0.23,500,1,117,200.25
0.02,0.06,0.1,0.72,0.55,0.36,0.28,590,0.43,0.29,500,1,143,216.625
0.03,0.07,0.11,0.66,0.45,0.31,0.25,645,0.38,0.2,500,1,99,191.75
0.02,0.06,0.11,0.66,0.46,0.32,0.24,627,0.38,0.2,500,1,101,190.5
0.02,0.07,0.13,0.65,0.45,0.32,0.24,631,0.38,0.18,500,1,92,187.75
0.03,0.07,0.13,0.61,0.43,0.32,0.25,600,0.38,0.18,500,1,88,188.125
0.03,0.08,0.13,0.64,0.45,0.34,0.29,566,0.4,0.19,500,1,95,198.25
0.03,0.09,0.14,0.67,0.48,0.35,0.3,540,0.41,0.22,500,1,112,207.25
0.03,0.08,0.14,0.64,0.47,0.34,0.27,546,0.4,0.21,500,1,103,198.5
0.04,0.1,0.15,0.69,0.46,0.34,0.28,512,0.41,0.22,500,1,110,203.0
0.03,0.09,0.12,0.68,0.45,0.34,0.26,517,0.4,0.2,500,1,102,198.5
0.03,0.08,0.13,0.67,0.46,0.33,0.26,536,0.39,0.21,500,1,104,196.75
0.02,0.09,0.16,0.58,0.39,0.28,0.23,641,0.34,0.15,500,1,76,171.25
0.03,0.09,0.13,0.63,0.4,0.3,0.24,638,0.36,0.17,500,1,85,180.5
0.03,0.07,0.12,0.6,0.4,0.28,0.23,692,0.35,0.15,500,1,74,173.25
0.03,0.1,0.16,0.58,0.4,0.28,0.21,738,0.34,0.16,500,1,78,169.5
0.03,0.1,0.16,0.61,0.43,0.27,0.21,732,0.34,0.19,500,1,94,172.125
0.05,0.11,0.16,0.63,0.45,0.28,0.21,724,0.35,0.21,500,1,103,176.125
0.03,0.08,0.13,0.65,0.44,0.28,0.21,722,0.35,0.19,500,1,97,175.875
0.03,0.08,0.15,0.66,0.47,0.29,0.21,703,0.36,0.22,500,1,109,181.0
0.02,0.07,0.13,0.67,0.46,0.31,0.23,684,0.37,0.23,500,1,113,187.125
